"movie_id","movie_title","movie_score","movie_pubdate","movie_type","movie_actors","movie_director"
"1652592","阿丽塔：战斗天使 Alita: Battle Angel","8","2019-02-22(中国大陆) 2019-02-05(台湾) 2019-02-14(美国)","动作 科幻 冒险","罗莎·萨拉查 克里斯托弗·沃尔兹 基恩·约翰逊 艾德·斯克林 马赫沙拉·阿里 詹妮弗·康纳利 杰基·厄尔·哈利 拉娜·康多 小豪尔赫·兰登伯格 艾莎·冈萨雷斯 卡斯帕·凡·迪恩 米歇尔·罗德里格兹 爱德华·诺顿 杰夫·法赫 山姆·麦地那 德里克·梅耶斯 艾丽·拉蒙特 豪尔赫·A·希门尼斯 马克·扎罗 比利·布莱尔 伦纳德·吴 特里斯坦·里格斯 迈克尔·洛夫·托利弗 金 达塞尔·丹妮尔 马克·A·怀特","罗伯特·罗德里格兹"
"1945750","污垢 The Dirt","8","2019-03-22(美国)","音乐 传记","道格拉斯·布斯 机关枪凯利 丹尼尔·韦伯 伊万·瑞恩 约书亚·米克尔 莱文·兰宾 Kabby Borders Kristin Brock","杰夫·特里梅因"
"1950330","罗马 Roma","8","2019-04(中国大陆) 2018-08-30(威尼斯电影节) 2018-12-14(美国)","剧情 家庭","雅利扎·阿巴里西奥 玛丽娜·德·塔维拉 迭戈·科蒂娜·奥特里 卡洛斯·佩拉尔塔 马科·格拉夫 丹妮拉·德米萨 南茜·加西亚 维罗妮卡·加西亚 安迪·科特斯 费尔南多·格雷迪亚加 豪尔赫·安东尼奥·格雷罗 拉丁·洛弗","阿方索·卡隆"
"3026559","登月第一人 First Man","8","2018-08-29(威尼斯电影节) 2018-10-12(美国)","剧情 传记 历史","瑞恩·高斯林 克莱尔·芙伊 杰森·克拉克 凯尔·钱德勒 寇瑞·斯托尔 派屈克·福吉特 克里斯托弗·阿波特 塞伦·希德 奥莉维亚·汉密尔顿 巴勃罗·施瑞博尔 谢伊·惠格姆 卢卡斯·哈斯 伊桑·恩布里 布莱恩·达西·詹姆斯 科里·迈克尔·史密斯 克里斯·斯万博格","达米恩·查泽雷"
"3059389","漂亮男孩 Beautiful Boy","6","2018-09-07(多伦多电影节) 2018-10-12(美国)","剧情","史蒂夫·卡瑞尔 蒂莫西·柴勒梅德 毛拉·蒂尔内 克里斯蒂安·康佛瑞 凯特琳·德弗 艾米·莱安 斯戴芬妮·斯考特 朱利安·沃克斯 杰克·迪伦·格雷泽 艾米·福赛思 安德烈·罗佑  曼迪娅·弗罗里 蒂莫西·赫顿 爱德华德·弗莱彻 丽莎·盖伊·汉密尔顿 迈克尔·帕特里克·麦克吉尔 汤姆·蔡 山姆·狄龙 埃米·阿奎诺 汤姆·贝耶 朱利安·克鲁瑟 约翰·洛巴托 安东尼·斯诺 艾蒂安·维克 大卫·门登霍尔 Oakley Bull Kue Lawrence Ricky Low Mary Pat Farrell Jeff Adler Sasha Kelly Jackson Carlton Wilborn Nikki Snipper Martha T. Newman Brooklin Thacher Frederick Lawrence Anastasia Leddick Minerva García Seann Gallagher Rodney J. Hobbs","菲力斯·范·古宁根"
"3095514","阴风阵阵 Suspiria","7","2018-09-01(威尼斯电影节) 2018-11-02(美国)","惊悚 恐怖","达科塔·约翰逊 蒂尔达·斯文顿 科洛·莫瑞兹 米娅·高斯 杰西卡·哈珀 西尔维·泰斯蒂 安吉拉·温科勒 玛高莎·贝拉 英格丽·卡文","卢卡·瓜达尼诺"
"3148663","福尔摩斯与华生 Holmes and Watson","4","2018-12-21(美国)","喜剧 悬疑 犯罪","威尔·法瑞尔 约翰·C·赖利 丽贝卡·豪尔 拉尔夫·费因斯 休·劳瑞 凯莉·麦克唐纳 劳伦·拉普库斯 贝拉·拉姆齐 帕姆·费里斯 罗伯·布莱顿 克瑞恩·奥伯里恩 诺亚·尤佩 迈克尔·卡尔金","伊坦·柯亨"
"3168101","毒液：致命守护者 Venom","7","2018-11-09(中国大陆) 2018-10-05(美国)","动作 科幻 惊悚","汤姆·哈迪 米歇尔·威廉姆斯 里兹·阿迈德 斯科特·黑兹  瑞德·斯科特 珍妮·斯蕾特 梅洛拉·沃尔特斯 伍迪·哈里森 佩吉·陆 马尔科姆·C·默里 索佩·阿卢科 韦恩·佩雷 米歇尔·李 库尔特·岳 克里斯·奥哈拉 埃米里奥·瑞弗拉 阿里亚当娜·约瑟夫 袁之正 朴云龙 麦克·勃兰特 尼克·图恩 山姆·麦地那 迪塞尔·马德金斯 简·麦克尼尔 维克托·麦凯 马丁·巴特斯·布拉德福德 布兰顿·莫拉莱斯 马修·康威尔 斯坦·李 韦德·威廉姆斯 约瑟夫·阿梅 威廉·W·巴伯 玛塞拉·布拉吉奥 卡特·伯奇 克里斯蒂安·康佛瑞 詹姆斯·富尔特斯 丹妮拉·加斯基 约翰·盖蒂尔 艾米丽塔·T·冈萨雷斯 杰克·汉森 安东尼·B·哈里斯 卡茜·亨德利 罗恩·彼得·琼斯 霍梅洛·洛佩兹 万恩·姆约维奇","鲁本·弗雷斯彻"
"3878007","海王 Aquaman","8","2018-12-07(中国大陆) 2018-12-21(美国)","动作 奇幻 冒险","杰森·莫玛 艾梅柏·希尔德 威廉·达福 帕特里克·威尔森 妮可·基德曼 杜夫·龙格尔 叶海亚·阿卜杜勒-迈丁 特穆拉·莫里森 林路迪 迈克尔·比奇 兰道尔·朴 格拉汉姆·麦克泰维什 雷·沃纳尔 泰努伊·柯克伍德 塔穆尔·柯克伍德 丹泽尔·夸克 卡恩·古尔杜尔 奥蒂斯·丹吉 克考亚·克库毛诺 朱莉·安德鲁斯 约翰·瑞斯-戴维斯 杰曼·翰苏 索菲亚·福雷斯特 娜塔莉亚·姗福瑞 杰克·安德鲁 汉克·阿莫斯 帕特里克·考克斯 罗伯特·朗斯特里特 德维卡·帕利赫 梅布尔·塔莫内 文森特·B·拉戈斯 加布里埃拉·佩特科娃 爱丽丝·兰斯伯里 帕特里克·艾奇逊 约翰·盖蒂尔 塔丽亚·杰德·霍尔特 罗斯·克纳汉 布拉登·刘易斯 萨尔瓦多·梅伦达 山姆·莫纳汉 温妮·穆赞贝 凯·潘塔诺 安娜·帕奇 乔恩·奎斯蒂德 迪伦·斯图默 米奇·武尔夫","温子仁"
"3927789","三方国界 Triple Frontier","6","2019-03-13(美国)","动作 犯罪 冒险","本·阿弗莱克 查理·汉纳姆 佩德罗·帕斯卡 奥斯卡·伊萨克 亚德里亚·霍纳 加内特·赫德兰 希拉·凡德 雷纳尔多·加列戈斯 克里斯汀·霍恩 穆罕默德·哈肯沙迪 迈克尔·本杰明·埃尔南德斯 佩德罗·洛佩兹 肖恩·麦克布莱德 杰森·奎恩 卡洛斯·利纳雷斯","J·C·尚多尔"
"4017146","月光光心慌慌 Halloween","6","2018-09-08(多伦多电影节) 2018-10-19(美国)","惊悚 恐怖","杰米·李·柯蒂斯 朱迪·格雷尔 安迪·马蒂切克 詹姆斯·裘德·柯特尼 尼克·卡斯特尔 哈鲁克·比尔根纳尔 威尔·帕顿 里安·里斯 杰佛逊·豪尔 托比·胡斯 维吉尼亚·加德纳 迪伦·阿诺德 迈尔斯·罗宾斯 德鲁·谢伊德 吉布瑞尔·南谭布 迈克尔·哈瑞蒂 马修·安德森 奥马尔·J·多尔西 克里斯托弗· 艾伦·尼尔森 P·J·索尔丝 桑迪·约翰逊 乔恩·埃里克·海克瑟姆 梅诺·佩卢斯 杰瑞德·莫泽 罗布·尼特","大卫·戈登·格林"
"4058933","一个明星的诞生 A Star Is Born","7","2018-08-31(威尼斯电影节) 2018-10-05(美国)","剧情 爱情 音乐","Lady Gaga 布莱德利·库珀 山姆·艾里奥特 安德鲁·戴斯·克雷 拉菲·格拉沃恩 安东尼·拉莫斯 大卫·查普尔 亚历克·鲍德温 马龙·威廉姆斯 布兰迪·卡莉 朗·瑞弗金 巴里·沙巴卡·亨利 迈克尔·D·罗伯茨 迈克尔·哈尔尼 丽贝卡·菲尔德 威廉·贝利 格雷戈·格伦伯格 D·J·尚格拉·皮尔斯 德瑞娜·德尼罗 艾迪·格里芬 哈尔希 马修·利巴提克 路奈尔·坎贝尔 唐·渥斯 伦尼·卡斯特罗 唐·罗伊·金 格雷戈里·斯卡尔尼奇 弗兰克·安妮罗 杰尔马诺·布兰科 梅根·豪恩 马克·查普曼 史蒂文·西塞罗 阿曼达·菲尔茨 阿尔弗雷德·加比杜林 弗雷德里克·基夫","布莱德利·库珀"
